video_id,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,date
aLpJiSDxJls,2020-04-23T06:31:43.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Teaser: Bharat Ek Saath Hai | Sonu Sood | Releasing Soon | T-Series,"Presenting the teaser of ""Bharat Ek Saath Hai "", This dedicated to all the corona warriors. #CoronaWarriors #IndiaFightsCorona. Enjoy & stay connected with...",https://i.ytimg.com/vi/aLpJiSDxJls/default.jpg,120,90,https://i.ytimg.com/vi/aLpJiSDxJls/mqdefault.jpg,320,180,https://i.ytimg.com/vi/aLpJiSDxJls/hqdefault.jpg,480,360,T-Series,none,2020-04-23
HYDsbDiOxpA,2020-04-23T13:30:02.000Z,UCq-Fj5jknLsUf-MWSy4_brA,The Care Concert - Palak Muchhal | PM CARES FUND | T-Series | Red FM,"Presenting the performance by Palak Muchhal. #TheCareConcert, a very noble initiative by Red FM and T-Series where various artists from the music industry ...",https://i.ytimg.com/vi/HYDsbDiOxpA/default.jpg,120,90,https://i.ytimg.com/vi/HYDsbDiOxpA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/HYDsbDiOxpA/hqdefault.jpg,480,360,T-Series,none,2020-04-23
C3OzDiHXOhU,2020-04-23T09:36:44.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Luck Di Kasam Audio | Ramji Gulati | Avneet Kaur | Siddharth Nigam | Vikram Nagi |  Mack | T-Series,"Presenting the full audio song featuring Avneet Kaur & Siddharth Nigam of 2020 "" Luck Di Kasam"", In the voice of ""Ramji Gulati"", composed by ""Vikram Nagi"" ...",https://i.ytimg.com/vi/C3OzDiHXOhU/default.jpg,120,90,https://i.ytimg.com/vi/C3OzDiHXOhU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/C3OzDiHXOhU/hqdefault.jpg,480,360,T-Series,none,2020-04-23
uJEOjol9e1I,2020-04-24T06:02:39.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Bharat Ek Saath Hai | Sonu Sood | M Veer | T-Series,"Presenting ""Bharat Ek Saath Hai"", This is dedicated to our brave Corona warriors, who are performing their duties day and night, even in the face of this ...",https://i.ytimg.com/vi/uJEOjol9e1I/default.jpg,120,90,https://i.ytimg.com/vi/uJEOjol9e1I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/uJEOjol9e1I/hqdefault.jpg,480,360,T-Series,none,2020-04-24
DTAnH0AFPAo,2020-04-24T05:32:53.000Z,UCq-Fj5jknLsUf-MWSy4_brA,The Care Concert - Yo Yo Honey Singh | PM CARES FUND | T-Series | Red FM,"Presenting the performance by Yo Yo Honey Singh. #TheCareConcert, a very noble initiative by Red FM and T-Series where various artists from the music ...",https://i.ytimg.com/vi/DTAnH0AFPAo/default.jpg,120,90,https://i.ytimg.com/vi/DTAnH0AFPAo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/DTAnH0AFPAo/hqdefault.jpg,480,360,T-Series,none,2020-04-24
Cb6wuzOurPc,2020-04-24T09:30:00.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Tum Se Hi Lyrcial | Jab We Met | Kareena Kapoor, Shahid Kapoor | Mohit Chauhan | Pritam","Presenting the lyrical video of the song ""Tum Se Hi"" from the Bollywood movie ""Jab We Met "" Song - Tum Se Hi Movie - Jab We Met Singer - Mohit Chauhan ...",https://i.ytimg.com/vi/Cb6wuzOurPc/default.jpg,120,90,https://i.ytimg.com/vi/Cb6wuzOurPc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Cb6wuzOurPc/hqdefault.jpg,480,360,T-Series,none,2020-04-24
sJPkM45yf54,2020-04-24T11:30:04.000Z,UCq-Fj5jknLsUf-MWSy4_brA,The Care Concert - Neha Kakkar | PM CARES FUND | T-Series | Red FM,"Presenting the performance by Neha Kakkar. #TheCareConcert, a very noble initiative by Red FM and T-Series where various artists from the music industry ...",https://i.ytimg.com/vi/sJPkM45yf54/default.jpg,120,90,https://i.ytimg.com/vi/sJPkM45yf54/mqdefault.jpg,320,180,https://i.ytimg.com/vi/sJPkM45yf54/hqdefault.jpg,480,360,T-Series,none,2020-04-24
F1wMY1AeTO4,2020-04-24T02:30:00.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Mahamrityunjaya Mantra - Full Audio | Shekhar Ravjiani | Bhushan Kumar | T-Series,Gulshan Kumar and T-Series presents Bhushan Kumar's Mahamrityunjaya Mantra full audio sung and composed by Shekhar Ravjiani. Meaning of ...,https://i.ytimg.com/vi/F1wMY1AeTO4/default.jpg,120,90,https://i.ytimg.com/vi/F1wMY1AeTO4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/F1wMY1AeTO4/hqdefault.jpg,480,360,T-Series,none,2020-04-24
mQ1iIFuaOR8,2020-04-24T14:25:17.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Lyrical: Hari Om Hari Om | Karzzzz | Himesh Reshammiya,"Presenting the lyrical video for the song "" Hari Om Hari Om"" from the movie Karzzzz. Song - Hari Om Hari Om Film - Karzzzz Singer - Himesh Reshammiya ...",https://i.ytimg.com/vi/mQ1iIFuaOR8/default.jpg,120,90,https://i.ytimg.com/vi/mQ1iIFuaOR8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/mQ1iIFuaOR8/hqdefault.jpg,480,360,T-Series,none,2020-04-24
E7LG5ZgGIxM,2020-04-25T05:31:49.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Saara Din (Official Music Video) | Karan Singh Arora | Avneet Kaur | T-Series,"Presenting the official music video featuring Avneet Kaur & Karan Singh Arora of the song ""Saara Din"", In the voice of ""Karan Singh Arora "", also the music is ...",https://i.ytimg.com/vi/E7LG5ZgGIxM/default.jpg,120,90,https://i.ytimg.com/vi/E7LG5ZgGIxM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/E7LG5ZgGIxM/hqdefault.jpg,480,360,T-Series,none,2020-04-25
tgdpGCyyVEs,2020-04-25T08:41:53.000Z,UCq-Fj5jknLsUf-MWSy4_brA,The Care Concert - Adnan Sami | PM CARES FUND | T-Series | Red FM,"Presenting the performance by Adnan Sami. #TheCareConcert, a very noble initiative by Red FM and T-Series where various artists from the music industry ...",https://i.ytimg.com/vi/tgdpGCyyVEs/default.jpg,120,90,https://i.ytimg.com/vi/tgdpGCyyVEs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tgdpGCyyVEs/hqdefault.jpg,480,360,T-Series,none,2020-04-25
yqGzu8fOlus,2020-04-25T11:45:56.000Z,UCq-Fj5jknLsUf-MWSy4_brA,The Care Concert - Dhvani Bhanushali | PM CARES FUND | T-Series | Red FM,"Presenting the performance by Dhvani Bhanushali. #TheCareConcert, a very noble initiative by Red FM and T-Series where various artists from the music ...",https://i.ytimg.com/vi/yqGzu8fOlus/default.jpg,120,90,https://i.ytimg.com/vi/yqGzu8fOlus/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yqGzu8fOlus/hqdefault.jpg,480,360,T-Series,none,2020-04-25
bBj4GW1yIUg,2020-04-25T16:06:05.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Lyrical : Lut Jaaon Lut Jaaon | Karzzzz | Himeash Reshammiya,"Presenting the lyrical video song ""Lut Jaaon Lut Jaaon"" from the movie Karzzzz. Song: Lut Jaaon Lut Jaaon Movie: Karzzzz Star cast: Himesh Reshammiya, ...",https://i.ytimg.com/vi/bBj4GW1yIUg/default.jpg,120,90,https://i.ytimg.com/vi/bBj4GW1yIUg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/bBj4GW1yIUg/hqdefault.jpg,480,360,T-Series,none,2020-04-25
fFRW8Fcl7HI,2020-04-26T05:30:02.000Z,UCq-Fj5jknLsUf-MWSy4_brA,The Care Concert - Aditya Narayan | PM CARES FUND | T-Series | Red FM,"Presenting the performance by Aditya Narayan.#TheCareConcert, a very noble initiative by Red FM and T-Series where various artists from the music industry ...",https://i.ytimg.com/vi/fFRW8Fcl7HI/default.jpg,120,90,https://i.ytimg.com/vi/fFRW8Fcl7HI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/fFRW8Fcl7HI/hqdefault.jpg,480,360,T-Series,none,2020-04-26
H39werth1qs,2020-04-26T06:35:06.000Z,UCq-Fj5jknLsUf-MWSy4_brA,Jinke Liye Lyrical | Neha Kakkar Feat. Jaani | B Praak | Bhushan Kumar,"Gulshan Kumar & T-Series present Bhushan Kumar's latest music video ""Jinke Liye"" with Lyrics. This new song is from the album Jaani Ve and sung by Neha ...",https://i.ytimg.com/vi/H39werth1qs/default.jpg,120,90,https://i.ytimg.com/vi/H39werth1qs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/H39werth1qs/hqdefault.jpg,480,360,T-Series,none,2020-04-26
P8ovs8Nf-j0,2020-04-26T11:30:02.000Z,UCq-Fj5jknLsUf-MWSy4_brA,The Care Concert - Amaal Malik &amp; Armaan Malik | PM CARES FUND | T-Series | Red FM,"Presenting the performance by Amaal Malik & Armaan Malik.#TheCareConcert, a very noble initiative by Red FM and T-Series where various artists from the ...",https://i.ytimg.com/vi/P8ovs8Nf-j0/default.jpg,120,90,https://i.ytimg.com/vi/P8ovs8Nf-j0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/P8ovs8Nf-j0/hqdefault.jpg,480,360,T-Series,none,2020-04-26
VV7zQP705EI,2020-04-26T09:30:03.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Lyrical: Most Wanted Track | Wanted | Prabhu Deva, Salman Khan | Sajid, Wajid","Presenting the lyrical video of the song ""Most Wanted"" from the movie ""Wanted"". Song - Most Wanted Track, Film - Wanted Singer - Salman Khan Lyricist ...",https://i.ytimg.com/vi/VV7zQP705EI/default.jpg,120,90,https://i.ytimg.com/vi/VV7zQP705EI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/VV7zQP705EI/hqdefault.jpg,480,360,T-Series,none,2020-04-26
RzgezQh6900,2020-04-26T13:32:55.000Z,UCq-Fj5jknLsUf-MWSy4_brA,"Lyrical: Tu Bole Main Boloon | Jaane Tu... Ya Jaane Na | A.R. Rahman | Imran Khan, Genelia Dsouza","Presenting the lyrical video of the song "" Tu Bole Main Boloon"" from the movie ""Jaane Tu... Ya Jaane Na"". Song - Tu Bole Main Boloon Film - Jaane Tu.",https://i.ytimg.com/vi/RzgezQh6900/default.jpg,120,90,https://i.ytimg.com/vi/RzgezQh6900/mqdefault.jpg,320,180,https://i.ytimg.com/vi/RzgezQh6900/hqdefault.jpg,480,360,T-Series,none,2020-04-26
