date,title,viewCount,likeCount,dislikeCount,commentCount
2017-06-15,Neha Kakkar T-Series Mixtape : Kabira Naina l Mohd Irfan l Bhushan Kumar l Ahmed Khan l Abhijit V,40817180,294758,11612,7546
2017-06-29,"&quot;Hawa Hawa&quot; (Video Song) | Mubarakan | Anil Kapoor, Arjun Kapoor, Ileana D’Cruz, Athiya Shetty",92796875,320356,38467,12602
2017-06-29,"Hans Mat Pagle Song | Toilet- Ek Prem Katha | Akshay Kumar, Bhumi  | Shreya Ghoshal",1845420,13015,863,487
2017-07-04,"Duma Dum Mast Kalander Full Audio Song | Partition 1947 | Huma Qureshi, Om Puri",361039,3109,155,122
2017-07-18,"Tera Ishq (तेरा इश्क) Song | Nyvaan, Millind Gaba | T-Series",16682746,106504,6239,4083
2017-07-20,"&quot;Mere Rashke Qamar&quot; Song With Lyrics | Baadshaho | Ajay Devgn, Ileana, Nusrat &amp; Rahat Fateh Ali Khan",196938431,598570,70195,26267
2017-07-27,Roke Na Ruke/Mast Magan | T-Series Mixtape |Tulsi Kumar &amp; Dev Negi | Bhushan Kumar Ahmed K Abhijit V,14144020,102769,4243,2031
2017-08-17,Gori Tu Latth Maar Full Video | Toilet- Ek Prem Katha | Akshay Kumar Bhumi Pednekar Sonu N Palak M,12574323,48703,5005,2058
2017-08-23,Daddy: Aala Re Aala Ganesha Song With Lyrics | Ganesh Chaturthi Special 2017,5355035,33770,1903,577
2017-08-29,"Musafir Full Video Song | Jagga Jasoos | Ranbir Kapoor, Katrina Kaif | Pritam",1180459,10580,336,289
2017-09-01,"Bhoomi: Daag Video Song | Sanjay Dutt, Aditi Rao Hydari | Sukhwinder Singh | Sachin - Jigar",922144,7313,350,394
2017-09-23,Golmaal Title Track (Video) | Ajay Devgn| Parineeti | Arshad | Tusshar | Shreyas | Kunal | Tabu,26482982,117485,12730,5451
2017-10-07,Kudiya Shehar Diyan Full Video Song | Poster Boys | Neha Kakkar | Daler Mehndi,253952,1523,160,82
2017-10-14,Official Trailer: Tumhari Sulu | Vidya Balan | Releasing on 17th November 2017,13555726,102569,6555,5315
2017-10-17,&quot;Navv Inder&quot;: &quot;Yaar Bolda&quot; Video Song | Nakulogic | Ihaana Dhillon |  Latest Punjabi Song 2017,10865686,87538,4122,1649
2017-10-20,Guru Randhawa: Ban Ja Rani Video Song With Lyrics | Tumhari Sulu | Vidya Balan Manav Kaul,156690144,549102,59991,22115
2017-10-28,Tere Mere Song | Dhvani Bhanushali | T-Series Acoustics,10711730,200086,4573,4778
2017-11-11,Padmaavat: Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,53819142,334496,24446,14766
2017-11-29,Tumhari Sulu: Rafu Full Video Song | Vidya Balan | Bollywood Song 2017,495282,2425,246,212
2017-12-29,Guru Randhawa: Lahore Video Song  (Lyrics) |  Bhushan Kumar | Vee | DirectorGifty | T-Series,42198859,223641,22749,14705
2018-01-01,"Yo Yo Honey Singh: DIL CHORI (Lyrical) | Simar Kaur, Ishers | Hans Raj Hans | Sonu Ke Titu Ki Sweety",142160975,329430,64620,10274
2018-01-06,Deep Money: Zeher Video Song Feat. Bohemia | New Songs 2018 | T-Series,16939993,124227,7807,6655
2018-01-10,Millind Gaba: NAZAR LAG JAYEGI Video Song | Kamal Raja | Shabby | New Hindi Songs 2018,151911013,1295380,92572,47548
2018-01-17,"Official Video: Harjai Song | Maniesh Paul, Iulia Vantur  Sachin Gupta | Hindi Songs 2018 | T-Series",10582909,106722,5598,3465
2018-02-12,Boond Boond Lyrical Video | Hate Story IV | Urvashi Rautela | Vivan B | Arko | Jubin N | Neeti Mohan,16206182,57986,6478,3092
2018-02-16,Sanu Ek Pal Chain Full Audio | Raid | Ajay Devgn | Ileana D&#39;Cruz| Tanishk B | Rahat Fateh Ali Khan,2506269,12337,1450,912
2018-02-17,Khalibali Song Making Video | Padmaavat | Ranveer Singh | Deepika Padukone | Shahid Kapoor,8151128,108084,3065,3565
2018-02-22,Tera Yaar Hoon Main Video | Sonu Ke Titu Ki Sweety | Arijit Singh Rochak Kohli | Song 2018,12770967,173476,4843,5089
2018-03-10,Patola Lyrical Video | Blackmail | Irrfan Khan &amp; Kirti Kulhari | Guru Randhawa,208787081,701701,96665,50970
2018-04-03,"Veera Video Song | Jasmine Sandlas, Sumit Sethi | Latest Songs 2018",16636990,115152,13693,2983
2018-04-08,Ghar Se Nikalte Hi Video Song With Lyrics | Amaal Mallik Feat. Armaan Malik | Bhushan Kumar | Angel,1512685,22142,1019,1463
2018-04-10,Making of Raid 4 || Ajay Devgn | Ileana D&#39;Cruz | Raj Kumar Gupta,132051,1295,205,132
2018-04-11,"Full Video: Mundiyan Song | Baaghi 2| Tiger Shroff | Disha Patani |Ahmed K | Sajid N | Navraj, Palak",30668191,127631,12362,4844
2018-04-14,Sataasat Full Video Song | Blackmail | Irrfan Khan | Amit Trivedi | Amitabh Bhattacharya,312258,2605,327,310
2018-04-19,Full Video: Hatt Ja Tau | Veerey Ki Wedding | Sunidhi Chauhan | Sapna Chaudhary,42835818,103291,16964,3748
2018-04-26,Official Video: Raat Kamaal Hai | Guru Randhawa &amp; Khushali Kumar | Tulsi Kumar | New Song 2018,180711369,1202948,118462,84525
2018-07-28,Sanju: KAR HAR MAIDAAN FATEH Full Video Song | Ranbir Kapoor | Rajkumar Hirani,103318434,659472,37768,18500
2018-08-04,Tajdar E Haram Lyrical Video | Satyameva Jayate | John Abraham |  Manoj Bajpayee | Sajid Wajid |,10178561,68802,6153,5333
2018-08-09,"Kamariya Video Song | STREE | Nora Fatehi | Rajkummar Rao | Aastha Gill, Divya Kumar | Sachin- Jigar",38567829,296391,26731,11564
2018-08-09,"Lyrical: MANU BHAIYA SONG | Tanu Weds Manu | Kangna Ranaut, R Madhavan",180962,1975,459,347
2018-08-17,"Gold Tamba Video Song | Batti Gul Meter Chalu | Shahid Kapoor, Shraddha Kapoor",34226041,183012,15700,7967
2018-08-23,Cover Version : Humnava Mere Song | Jubin Nautiyal | Amrita Nayak,5794380,116476,3356,5130
2018-08-24,"Gold Tamba Video With Lyrics | Batti Gul Meter Chalu | Shahid Kapoor, Shraddha Kapoor",9909345,51135,5526,2578
2018-08-30,"Murder 2: Aye Khuda Video With Lyrics | Emraan Hashmi, Jacqueline Fernandez",966310,17507,5031,2628
2018-09-01,"Go Go Govinda Lyrical Video | OMG (Oh My God) | Sonakshi Sinha, Prabhu Deva",2199474,13315,3778,1121
2018-09-27,"&quot;Pee Loon&quot; Lyrical Song | Once Upon A Time in Mumbai | Emraan Hashmi, Prachi Desai",9924484,69340,3180,1148
2018-10-04,Dekhte Dekhte Full Song | Batti Gul Meter Chalu | Atif Aslam | Shahid K Shraddha K | Nusrat Saab,15218986,99374,5984,3843
2018-10-16,Guru Randhawa: Downtown (Official Video) | Bhushan Kumar | DirectorGifty | Vee | Delbar Arya,188496788,1440322,151091,101375
2018-10-24,"Selfmade-Chaache Maame Full Audio | PBX 1 | Sidhu Moose Wala | Ft Sunny Malton, Byg Byrd",6928042,74629,2848,2081
2018-10-25,Rangtaari Full Video | Loveyatri | Aayush Sharma | Warina Hussain |Yo Yo Honey Singh |Tanishk Bagchi,27418123,102815,11502,3419
2018-11-20,Lyrical : Anarkali Disco Chali Song | Housefull 2 | Malaika Arora Khan,291551,3037,4989,2448
2018-11-24,Leja Re  | Dhvani Bhanushali | Tanishk Bagchi | Rashmi Virag |Radhika Rao| Vinay Sapru | Siddharth,584514788,3343819,289880,117600
2018-12-05,"&quot;Bhare Naina&quot; With Lyrics |  Ra One | ShahRukh Khan, Kareena Kapoor",589053,11940,2024,1224
2018-12-11,KGF: Gali Gali Song Teaser | Mouni Roy | Tanishk Bagchi | Song Releasing Soon,2556655,47963,5285,3183
2018-12-17,"ZERO: Husn Parcham Lyrical Video Song | Shah Rukh Khan, Katrina Kaif, Anushka Sharma | T-Series",15763460,95532,6631,3069
2018-12-26,Full Audio: Sab Ke Sapnon Ki | KGF | Yash  | Srinidhi Shetty | Ravi Basrur,1575515,23390,1415,852
2018-12-27,"Full Song:  Simmba Theme 2 | Ranveer Singh, Sara Ali Khan | Tanishk Bagchi",7092023,50562,4201,1666
2018-12-28,"ZERO: Heer Badnaam Lyrical Video | Shah Rukh Khan, Katrina Kaif, Anushka Sharma | Tanishk Bagchi",7177822,50122,2912,1377
2018-12-29,Happy New Year 2019 Party Super Hit Songs | Audio Jukebox | T-SERIES,6651434,46288,9830,3282
2019-01-03,"ZERO: Duma Dam Mast Kalandar Lyrical | Shah RK, Katrina K, Anushka S | Altamash F, Tanishk B",709227,10346,1592,955
2019-01-08,"ZERO: Ann Bann Full Song | Shah Rukh Khan, Katrina Kaif, Anushka Sharma | Kunal Ganjawala",10526359,102788,5578,3936
2019-01-18,"Official Trailer: S P Chauhan | Jimmy Shergill, Yuvika Chaudhary, Yashpal Sharma | Manoj K Jha",6186267,81728,4364,3344
2019-01-31,Kithe Reh Gaya Video | Neeti Mohan | Abhijit Vaghani  | Kumaar | New Song 2019 | T-Series,38887747,310834,19312,8251
2019-02-03,"Full Song:  Dil Mein Ho Tum | WHY CHEAT INDIA | Emraan Hashmi, Shreya D |Rochak K, Armaan M, Bappi L",6390379,52150,2730,2146
2019-03-12,"Luka Chuppi: Tu Laung Main Elaachi Full Video | Kartik Aaryan, Kriti Sanon | Tulsi Kumar | Tanishk B",9832797,38454,8020,2638
2019-03-26,NOTEBOOK: Main Taare Full Song | Salman Khan | Pranutan Bahl | Zaheer Iqbal | Vishal M | Manoj M,395427,11118,3545,1715
2019-03-30,Full Audio: DOSTI | Vidyut Jammwal | Mohan Kannan | Sameer Uddin | T-Series,108040,1559,972,588
2019-04-11,"De De Pyaar De | Vaddi Sharaban | Ajay Devgn, Rakul, Tabu | Sunidhi, Navraj | Vipin Patwa | Kumaar",31403633,173853,34348,14264
2019-04-20,Bharat | Official Motion Poster | Salman Khan | Katrina Kaif | Bharat ►Releasing This Eid,2973702,106636,9401,5649
2019-04-29,"Full Song: TU MILA TO HAINA | De De Pyaar De | Ajay Devgn, Rakul |Arijit Singh,Amaal Mallik,Kunaal V",1202213,16277,2708,1058
2019-05-05,"LYRICAL: HAULI HAULI | De De Pyaar De | Ajay Devgn, Tabu, Rakul | Neha K, Garry S, Tanishk B, Mellow",104011072,340374,63813,7451
2019-05-06,"Kahin Toh Hogi Woh-Teri Aahatein | Neeti Mohan,Shekhar Ravjiani,Abhijit V |T-SERIES MIXTAPE SEASON 2",4852740,64763,4713,2651
