date,title,viewCount,likeCount,dislikeCount,commentCount
2020-03-11,"Laadki - Angrezi Medium | Irrfan, Kareena, Radhika | Rekha Bhardwaj, Sachin-Jigar | 13 March",8397995,109736,6450,4148
2020-03-16,"Full Video: BHANKAS | Baaghi 3 | Tiger S,Shraddha K |Bappi Lahiri,Dev Negi,Jonita Gandhi | Tanishk B",6031976,47570,4884,1581
2020-03-17,Full Video: Do You Love Me | Baaghi 3 | Disha Patani | Tiger S | René Bendali | Tanishk B | Nikhita,1054132,15005,1571,957
2020-03-18,Lyrical: Tujhe Rab Mana | Tiger Shroff  | Shraddha Kapoor |  Rochak Kohli  Feat. Shaan,771620,15338,1367,1123
2020-03-27,HIT OF TANISHK BAGCHI | Audio Jukebox | Latest Hindi Bollywood Songs | T-Series,249236,6383,1366,874
2020-03-28,Teaser: Phir Na Milen Kabhi Reprise Version | Tulsi Kumar | Song Releasing on 30 March 2020,580764,13623,1566,809
2020-04-03,"Lyrical: Zor Ka Jhatka | Action Replayy |Akshay Kumar,Aishwarya Rai Bachchan | Daler Mehndi, Richa S",131864,2855,460,474
2020-04-04,"Lyrical: Tum Ho Toh | Rock On | Arjun Rampal, Farhan Akhtar | Shankar-Ehsaan-Loy",242558,4897,936,783
2020-04-06,"Lyrical: Mere Dholna | Bhool Bhulaiyaa | Vidya Balan | Shreya Ghoshal, M.G. Sreekumar |  Pritam",257977,5736,664,1108
2020-04-12,Lyrical: Nazrein Milaana Nazrein Churaana | Jaane Tu Ya Jaane Na | Imran Khan | Genelia D&#39;Souza,236670,4818,883,773
2020-04-13,Mahamrityunjaya Mantra | Shekhar Ravjiani | Bhushan Kumar | T-Series,2212328,19021,2252,1324
2020-04-14,Moscow Mashuka: YO YO Honey Singh Feat. Neha Kakkar | Bhushan Kumar | T-Series,23910530,1042396,79146,99975
2020-04-18,Mera Bharat Mahaan | John Abraham | India Fights Corona | Stay Home | Stay Safe|T-Series,856704,100144,1966,5095
2020-04-18,Lyrical:&quot;Dil Kanch Sa&quot; | Hate Story | Paoli Dam | Nikhil Dwivedi | Harshit Saxena | Krishna Buera,200761,4010,609,839
2020-04-18,"Lyrical: Dag Mag Dag Mag | 3 Bachelors | Sharman Joshi, Raima Sen, Riya Sen | Shaan, Sunidhi Chauhan",342754,5987,1174,644
2020-04-18,"Song Teaser: Bewafai | Rochak Kohli Feat.Sachet Tandon |Mr. Faisu,Musskan, Aadil |Song Out ►20 April",1262316,66935,26881,11102
2020-04-18,"Aa Re Aa Re Full Audio Song Besharam | Ranbir Kapoor, Pallavi Sharda",47761,867,603,322
2020-04-19,"Lyrical: Bittoo Sabki Lega | Bittoo Boss | Pulkit Samrat, Amita Pathak | Raghav Sachar",243143,4411,1995,1315
2020-04-20,"Bewafai Video Song | Rochak Kohli Feat.Sachet Tandon, Manoj M | Mr. Faisu, Musskan S &amp; Aadil K",20520272,750733,120952,78300
2020-04-20,"Lyrical: &quot;It&#39;s A Game&quot; | Game | Abhishek Bachchan, Kangana Ranaut, Sarah-Jane Dias",209377,4199,1399,1523
2020-04-21,Lyrical:  Tere Bin Chain Na Aave | Karzzzz | Himesh Reshammiya | Tulsi Kumar,297919,8484,888,1135
2020-04-21,"Lyrical: Sinbad The Sailor | Rock On | Farhan Akhtar, Raman Mahadevan | Shankar-Ehsaan-Loy",184341,3738,1023,910
2020-04-21,Feed The Hungry,207731,9802,655,1069
2020-04-21,"Tu Hai Full Audio Song | Besharam | Ranbir Kapoor, Pallavi Sharda | SHREYA GHOSHAL, SONU NIGAM",44536,762,213,126
2020-04-21,"Chal Hand Uthake Nachche Full Audio Song | Besharam | Rishi Kapoor, Ranbir Kapoor |",36083,549,324,189
2020-04-22,"Lyrical : Kahin To Hogi Woh | Jaane Tu Ya Jaane Na | Imran Khan, Genelia D&#39;Souza | A.R. Rahman",252478,6725,646,1065
2020-04-22,Yo Yo Honey Singh : LOCA (Full Audio) | Bhushan Kumar | New Song 2020 | T-Series,518666,22415,1528,1804
2020-04-22,"Mere Angne Mein Audio | Jacqueline F,Asim | Neha K,Raja H,Tanishk B, Radhika-Vinay | Bhushan K",391915,8647,2305,1258
2020-04-23,The Care Concert - Tulsi Kumar | PM CARES FUND | T-Series | Red FM,198917,8442,857,1036
2020-04-23,Teaser: Bharat Ek Saath Hai | Sonu Sood | Releasing Soon | T-Series,260085,14850,580,1014
2020-04-23,The Care Concert - Palak Muchhal | PM CARES FUND | T-Series | Red FM,57008,2524,435,518
2020-04-23,Luck Di Kasam Audio | Ramji Gulati | Avneet Kaur | Siddharth Nigam | Vikram Nagi |  Mack | T-Series,128362,3185,461,455
2020-04-24,Bharat Ek Saath Hai | Sonu Sood | M Veer | T-Series,262488,23659,722,1675
2020-04-24,The Care Concert - Yo Yo Honey Singh | PM CARES FUND | T-Series | Red FM,274888,27517,573,1443
2020-04-24,"Tum Se Hi Lyrcial | Jab We Met | Kareena Kapoor, Shahid Kapoor | Mohit Chauhan | Pritam",76134,2218,205,389
2020-04-24,The Care Concert - Neha Kakkar | PM CARES FUND | T-Series | Red FM,216684,9041,833,954
2020-04-24,Mahamrityunjaya Mantra - Full Audio | Shekhar Ravjiani | Bhushan Kumar | T-Series,183139,6733,499,794
2020-04-24,Lyrical: Hari Om Hari Om | Karzzzz | Himesh Reshammiya,86134,2498,644,504
2020-04-25,Saara Din (Official Music Video) | Karan Singh Arora | Avneet Kaur | T-Series,3969870,85647,10244,5187
2020-04-25,The Care Concert - Adnan Sami | PM CARES FUND | T-Series | Red FM,116639,4312,400,647
2020-04-25,The Care Concert - Dhvani Bhanushali | PM CARES FUND | T-Series | Red FM,169358,6605,847,782
2020-04-25,Lyrical : Lut Jaaon Lut Jaaon | Karzzzz | Himeash Reshammiya,89991,2296,476,522
2020-04-26,The Care Concert - Aditya Narayan | PM CARES FUND | T-Series | Red FM,106566,4814,346,895
2020-04-26,Jinke Liye Lyrical | Neha Kakkar Feat. Jaani | B Praak | Bhushan Kumar,144734,7406,519,544
2020-04-26,The Care Concert - Amaal Malik &amp; Armaan Malik | PM CARES FUND | T-Series | Red FM,65337,4132,325,625
2020-04-26,"Lyrical: Most Wanted Track | Wanted | Prabhu Deva, Salman Khan | Sajid, Wajid",134189,6134,731,902
2020-04-26,"Lyrical: Tu Bole Main Boloon | Jaane Tu... Ya Jaane Na | A.R. Rahman | Imran Khan, Genelia Dsouza",3944,369,127,179
